"topic","CS","lbf","pip","coef","name","id","database","accession","sub_category_code","organism","description_brief","top_genes"
"k1","L1","213.505","1.000","0.792","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","M29556","MSigDB-C2",NA,"CP:REACTOME","Homo sapiens","Eukaryotic Translation Elongation","Rpl13 (2.766) Rpsa (2.33) Eef1g (2.285) Rps16 (2.219) Rpl18a (2.156) Rps4x (2.129) Rpl3 (2.052) Rplp0 (1.979) Rpl35 (1.806) Rpl14 (1.755)"
"k1","L2","51.852","0.997","1.188","REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY","M27372","MSigDB-C2",NA,"CP:REACTOME","Homo sapiens","Type I hemidesmosome assembly","Lamb3 (4.992) Krt5 (4.625) Col17a1 (2.66) Krt14 (-1.847) Dst (1.637) Itgb4 (1.567) Cd151 (0.439) Plec (-0.383) Lamc2 (-0.074) Itga6 (0.024)"
"k1","L3","44.857","1.000","-1.072","GO_POSITIVE_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE","M24929","MSigDB-C5",NA,"GO:BP","Homo sapiens","Any process that activates or increases the frequency, rate or extent of neuroinflammatory response. [GOC:aruk, GOC:bc]","Nupr1 (-11.127) Ctsc (-0.982) Il18 (-0.187) Il33 (-0.061) Tnf (-0.034) Il6 (-0.026) Ttbk1 (-0.023) Stap1 (-0.012) Trem2 (0.01) Lrrk2 (-0.004)"
"k1","L4","25.703","1.000","0.833","REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_SEVERAL_ADDITIONAL_CELL_DEATH_GENES_WHOSE_SPECIFIC_ROLES_IN_P53_DEPENDENT_APOPTOSIS_REMAIN_UNCERTAIN","M27629","MSigDB-C2",NA,"CP:REACTOME","Homo sapiens","TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain","Trp63 (4.726) Birc5 (3.783) Ndrg1 (1.561) Trp53 (1.374) Rabggtb (0.421) Perp (0.256) Bcl2l14 (-0.085) Rabggta (-0.014) Trp73 (0.011) Trp53bp2 (0.009)"
"k1","L5","21.758","0.996","0.182","WP_IL18_SIGNALING_PATHWAY","M39818","MSigDB-C2",NA,"CP:WIKIPATHWAYS","Homo sapiens","IL-18 signaling pathway","Icam1 (4.814) Ugt2b34 (4.591) Tgm2 (4.315) Ccl20 (3.992) Stmn1 (3.264) Hspb8 (2.633) Ccnb2 (2.343) Hspb1 (2.17) Timp3 (2.07) Vegfa (1.927)"
"k1","L6","32.208","1.000","-1.031","GO_REGULATION_OF_FEMALE_GONAD_DEVELOPMENT","M12759","MSigDB-C5",NA,"GO:BP","Homo sapiens","Any process that modulates the frequency, rate or extent of female gonad development. [GOC:obol]","Nupr1 (-11.127) Hyal3 (0.1) Zp3 (-0.017) Gnrh1 (-0.01) Gdf9 (0.01) Nr5a1 (-0.009) Src (-0.009) Insr (-0.009) Retn (-0.005) Amh (-0.001)"
"k1","L7","25.913","1.000","0.483","REACTOME_NGF_STIMULATED_TRANSCRIPTION","M29793","MSigDB-C2",NA,"CP:REACTOME","Homo sapiens","NGF-stimulated transcription","Id3 (3.484) Egr2 (2.194) Id1 (1.932) Fos (1.68) Arc (-1.632) Id4 (1.526) Id2 (1.445) Fosb (1.437) Fosl1 (1.423) Trib1 (1.395)"
"k1","L8","20.686","1.000","0.804","GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_STRESS","M24751","MSigDB-C5",NA,"GO:BP","Homo sapiens","Any process that decreases the frequency, rate or extent of transcription from an RNA polymerase II promoter as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation). [GOC:rn, PMID:11027285, PMID:15575969, PMID:16556235, PMID:18086556, PMID:18627600]","Hspa1a (3.633) Bag3 (1.893) Jun (1.845) Cited2 (1.323) Dnajb1 (0.913) Sirt2 (0.692) Tmbim6 (0.173) Nck1 (0.038) Hif1an (-0.027) Vhl (0.013)"
"k1","L9","22.203","0.729","0.897","GO_PROTEIN_TYROSINE_THREONINE_PHOSPHATASE_ACTIVITY","M34393","MSigDB-C5",NA,"GO:MF","Homo sapiens","Catalysis of the reactions: protein threonine phosphate + H2O = protein threonine + phosphate; and protein tyrosine phosphate + H2O = protein tyrosine + phosphate. [GOC:mah]","Dusp2 (4.131) Dusp6 (2.914) Dusp7 (1.782) Dusp5 (-1.218) Dusp1 (1.217) Dusp4 (0.827) Dusp16 (-0.032) Dusp10 (-0.013) Dusp8 (-0.008) Dusp9 (0.003)"
"k1","L9","22.203","0.271","0.778","GO_MAP_KINASE_PHOSPHATASE_ACTIVITY","M18661","MSigDB-C5",NA,"GO:MF","Homo sapiens","Catalysis of the reaction: a phosphorylated MAP kinase + H2O = a MAP kinase + phosphate. [GOC:mah, PMID:12184814, PMID:17208316]","Dusp2 (4.131) Dusp6 (2.914) Dusp7 (1.782) Dusp14 (1.264) Dusp5 (-1.218) Dusp1 (1.217) Dusp4 (0.827) Dusp16 (-0.032) Dusp10 (-0.013) Dusp18 (-0.011)"
"k1","L10","16.639","0.411","0.216","GO_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION","M12838","MSigDB-C5",NA,"GO:BP","Homo sapiens","Any process that modulates the rate, frequency, or extent of the orderly movement of an endothelial cell into the extracellular matrix to form an endothelium. [GOC:BHF, GOC:dph, GOC:tb]","Ptn (3.851) Apoe (3.779) Dcn (3.326) Glul (3.209) Sparc (3.016) Efna1 (2.289) Hspb1 (2.17) Vegfa (1.927) Hmox1 (1.916) Klf4 (1.616)"
"k1","L10","16.639","0.300","0.577","GO_FIBROBLAST_APOPTOTIC_PROCESS","M23642","MSigDB-C5",NA,"GO:BP","Homo sapiens","Any apoptotic process in a fibroblast, a connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. [CL:0000057, GOC:jl, GOC:mtg_apoptosis, GOC:yaf]","Trp63 (4.726) Myc (3.723) Sfrp1 (1.536) Trp53 (1.374) Gas6 (1.084) Bcl2l11 (0.887) Prdm11 (0.679) Api5 (0.145) Chd8 (-0.066) Bid (0.042)"
