"topic","CS","lbf","pip","coef","name","id","database","accession","sub_category_code","organism","description_brief","top_genes"
"k8","L1","98.460","0.975","-0.310","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","M29556","MSigDB-C2",NA,"CP:REACTOME","Homo sapiens","Eukaryotic Translation Elongation","Rpl32 (-1.472) Rps19 (-1.365) Rpl37a (-1.347) Rps26 (-1.34) Rps18 (-1.29) Rps2 (-1.187) Rps9 (-1.163) Rplp0 (-1.155) Rps5 (-1.081) Rpl26 (-1.055)"
"k8","L2","34.882","1.000","0.589","GO_PRIMARY_ALCOHOL_CATABOLIC_PROCESS","M23258","MSigDB-C5",NA,"GO:BP","Homo sapiens","The chemical reactions and pathways resulting in the breakdown of primary alcohols. A primary alcohol is any alcohol in which a hydroxy group, -OH, is attached to a saturated carbon atom which has either three hydrogen atoms attached to it or only one other carbon atom and two hydrogen atoms attached to it. [GOC:mah]","Akr1b8 (3.595) Aldh3b1 (2.423) Aldh1b1 (-0.02) Hao1 (-0.019) Sult1e1 (-0.018) Sult1a1 (-0.013) Adh7 (-0.01) Sult1b1 (-0.004) Aldh3b2 (-0.001) Aldh2 (-0.001)"
"k8","L3","20.412","1.000","0.398","GO_NEGATIVE_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL","M14436","MSigDB-C5",NA,"GO:BP","Homo sapiens","Any process that stops, prevents, or reduces the frequency, rate or extent of the entry of viral entry into a host cell. [GOC:jl]","Gsn (3.379) Ifitm1 (3.021) Ifitm3 (0.532) Mid2 (-0.022) Trim10 (-0.019) Trim31 (-0.018) Ptx3 (-0.017) Trim26 (-0.017) Trim11 (0.015) Trim5 (-0.015)"
"k8","L4","19.928","0.997","0.424","GO_CERAMIDE_BINDING","M26808","MSigDB-C5",NA,"GO:MF","Homo sapiens","Interacting selectively and non-covalently with any ceramide, a class of lipids that is composed of sphingosine linked to a fatty acid. Ceramides are a major component of cell membranes. [GOC:sart]","Pltp (4.304) Laptm4b (1.414) Pla2g4a (0.226) Psap (-0.056) Plekha3 (-0.022) Cptp (-0.02) Mag (-0.02) Plekha8 (-0.018) Clip3 (-0.017) Cd300lf (-0.017)"
"k8","L6","20.735","0.974","0.430","TSAI_DNAJB4_TARGETS_UP","M13669","MSigDB-C2",NA,"CGP","Homo sapiens","Genes up-regulated in CL1-5 cells (lung cancer) overexpressing DNAJB4 [GeneID=11080] off a plasmid vector.","Ifitm1 (3.021) Ifit3 (1.869) Txnip (1.683) Cdkn1a (-0.483) Irf9 (0.104) Timp3 (0.088) Ifit1bl1 (-0.024) Oas3 (-0.011) Isg15 (0.009) Sesn2 (-0.007)"
"k8","L7","26.961","1.000","-0.089","CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2","M3062","MSigDB-C2",NA,"CGP","Homo sapiens","The 'group 2 set' of genes associated with acquired endocrine therapy resistance in breast tumors expressing ESR1 and ERBB2 [GeneID=2099;2064].","Mst1 (2.665) Meig1 (-2.522) Morn5 (-2.502) Gpx8 (1.831) 1700016K19Rik (-1.515) Lrrc46 (-1.497) Ccdc74a (-1.487) Dynlrb2 (-1.47) 1700013F07Rik (-1.466) Rsph1 (-1.335)"
"k8","L8","30.895","1.000","0.476","GO_SECONDARY_LYSOSOME","M25649","MSigDB-C5",NA,"GO:CC","Homo sapiens","Vacuole formed by the fusion of a lysosome with an organelle (autosome) or with a primary phagosome. [GOC:jl, ISBN:0815316194]","Adam8 (3.719) Lamp1 (0.955) Ftl1 (0.949) Lamp2 (0.586) Fth1 (0.497) Sqstm1 (0.257) Cln3 (0.058) Ncf2 (-0.028) Lrrk2 (-0.017) Ncf4 (-0.017)"
"k8","L9","15.811","0.979","0.411","nicotine degradation III","143047","BioSystems-biocyc","MOUSE_PWY66-221",NA,NA,NA,"Cyp2s1 (2.493) Cyp2b10 (1.864) Cyp4b1 (0.571) Cyp2a4 (0.023) Ugt1a6a (-0.016) Cyp2u1 (-0.015) Ugt1a7c (-0.013) Cyp2a12 (-0.009) Cyp3a13 (-0.005) Cyp2j6 (-0.003)"
"k8","L10","16.138","0.826","0.245","HAN_JNK_SINGALING_DN","M1655","MSigDB-C2",NA,"CGP","Mus musculus","Genes down-regulated in 3T3 cells (fibroblast) upon activation of JNK pathway.","Pltp (4.304) Ifitm1 (3.021) Lbp (1.877) Cd74 (0.552) Cd9 (0.437) Cyp2f2 (-0.33) C3 (-0.051) Anxa8 (-0.048) Cp (0.047) Isyna1 (0.034)"
"k8","L10","16.138","0.137","0.123","MIKKELSEN_MCV6_LCP_WITH_H3K4ME3","M1960","MSigDB-C2",NA,"CGP","Mus musculus","Genes with low-CpG-density promoters (LCP) bearing the tri-methylation mark at H3K4 (H3K4me3) in MCV6 cells (embryonic fibroblasts trapped in a differentiated state).","Aoc1 (3.907) Ifitm1 (3.021) Aldh3b1 (2.423) Lbp (1.877) Lgals3bp (1.472) Aldh1a1 (1.351) Tmem176b (0.977) Cfap126 (-0.83) Klk11 (0.768) Ifi35 (0.683)"
"k8","L5","15.731","0.459","0.172","COATES_MACROPHAGE_M1_VS_M2_DN","M14515","MSigDB-C2",NA,"CGP","Mus musculus","Down-regulated genes distinguishing between M1 (pro-inflammatory) and M2 (anti-inflammatory) macrophage subtypes.","Adam8 (3.719) Ctsk (2.432) Lbp (1.877) Ang (1.866) Mgst2 (0.992) Thbs1 (0.982) Chia1 (0.406) Cd24a (0.306) Ctsl (0.083) Efhd2 (-0.068)"
"k8","L5","15.731","0.015","0.118","GSE6269_E_COLI_VS_STREP_PNEUMO_INF_PBMC_DN","M5662","MSigDB-C7",NA,"","Homo sapiens","Genes down-regulated in comparison of peripheral blood mononuclear cells (PBMC) from patients with acute E. coli infection versus PBMC from patients with acute S. pneumoniae infection.","Adam8 (3.719) Gsn (3.379) Cd177 (3.332) Rnase4 (1.882) Ang (1.866) Ctsd (1.34) Dhrs7 (0.908) Hcar2 (0.466) Tmbim6 (0.441) Ltf (-0.371)"
"k8","L5","15.731","0.487","0.347","GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION","M10076","MSigDB-C5",NA,"GO:BP","Homo sapiens","Any process that activates or increases the frequency, rate or extent of protein maturation. [GO_REF:0000058, GOC:TermGenie, GOC:vw]","Adam8 (3.719) Gsn (3.379) Eno1 (-0.428) Timm17a (-0.041) Mmp14 (-0.023) Clec3b (-0.02) Lpcat3 (-0.009) F12 (-0.009) Plgrkt (-0.007) Bag2 (-0.007)"
"k9","L1","101.790","1.000","0.179","CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2","M3062","MSigDB-C2",NA,"CGP","Homo sapiens","The 'group 2 set' of genes associated with acquired endocrine therapy resistance in breast tumors expressing ESR1 and ERBB2 [GeneID=2099;2064].","Klhdc9 (3.437) Lrrc23 (3.113) Spata33 (2.986) 1700001L19Rik (2.952) Ccno (2.765) Morn5 (2.719) Poc1a (2.624) Meig1 (2.533) Ropn1l (2.45) Cep41 (2.248)"
"k9","L2","74.835","1.000","0.263","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_CILIATED_CELLS","M39285","MSigDB-C8",NA,"","Homo sapiens","","Lrrc23 (3.113) 1700001L19Rik (2.952) Morn5 (2.719) Ropn1l (2.45) Fam229b (1.783) Ccdc74a (1.57) Lrrc46 (1.496) Dynlrb2 (1.47) 1700013F07Rik (1.463) Crip1 (1.418)"
"k9","L4","18.949","1.000","0.417","GO_ANTIBACTERIAL_HUMORAL_RESPONSE","M22882","MSigDB-C5",NA,"GO:BP","Homo sapiens","An immune response against bacteria mediated through a body fluid. Examples of this process are the antibacterial humoral responses in Mus musculus and Drosophila melanogaster. [GOC:go_curators, GOC:mtg_sensu]","Wfdc3 (2.973) Ltf (2.444) Wfdc13 (2.333) Bpifa1 (1.325) Wfdc2 (-1.031) Wfdc5 (0.032) H2-T23 (-0.025) Defb1 (-0.012) Wfdc12 (-0.011) Sftpd (0.011)"
"k9","L5","12.444","1.000","0.121","GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_48H_DN","M6024","MSigDB-C7",NA,"","Homo sapiens","Genes down-regulated in CD4 [GeneID=920] T cells: untreated (0h) versus activated by anti-CD3 and anti-CD28 and then stimulated by IL4 [GeneID=3565] (48h).","Ccdc34 (3.294) Ropn1l (2.45) Rbks (2.383) Myb (2.283) Cfap36 (1.872) Ube2m (1.692) Nek2 (1.686) Spata24 (1.653) Lrwd1 (1.645) Med8 (1.349)"
"k9","L6","11.762","1.000","0.487","GO_INNER_DYNEIN_ARM_ASSEMBLY","M12111","MSigDB-C5",NA,"GO:BP","Homo sapiens","The aggregation, arrangement and bonding together of a set of components to form an axonemal dynein inner arm, an inner arm structure present on the outer doublet microtubules of ciliary and flagellar axonemes. [GOC:BHF, GOC:vk, PMID:19944400]","Tekt2 (1.64) Ccdc103 (1.418) Lrrc6 (1.315) Ccdc40 (1.045) Zmynd10 (0.937) Ccdc39 (0.887) Dnah7b (0.089) Dnaaf1 (0.076) Dnah1 (-0.011) Dnaaf5 (-0.005)"
"k9","L7","17.057","0.998","0.156","GO_CENTRIOLE","M17001","MSigDB-C5",NA,"GO:CC","Homo sapiens","A cellular organelle, found close to the nucleus in many eukaryotic cells, consisting of a small cylinder with microtubular walls, 300-500 nm long and 150-250 nm in diameter. It contains nine short, parallel, peripheral microtubular fibrils, each fibril consisting of one complete microtubule fused to two incomplete microtubules. Cells usually have two centrioles, lying at right angles to each other. At division, each pair of centrioles generates another pair and the twin pairs form the pole of the mitotic spindle. [ISBN:0198547684]","Cby1 (2.747) Poc1a (2.624) Cep41 (2.248) Mdm1 (2.047) Poc5 (1.647) Ift20 (1.612) Cep78 (1.515) Cep19 (1.44) Odf2 (1.32) Cep83 (1.302)"
"k9","L9","17.110","1.000","0.091","GAO_ESOPHAGUS_25W_C1_CILIATED_EPITHELIAL_CELLS","M39136","MSigDB-C8",NA,"","Homo sapiens","","Klhdc9 (3.437) Lrrc23 (3.113) Wfdc3 (2.973) 1700001L19Rik (2.952) Ropn1l (2.45) Mdm1 (2.047) Map9 (2.037) Ankrd54 (1.71) Efcab10 (1.708) Lrwd1 (1.645)"
"k9","L3","9.581","0.045","0.183","GO_CILIARY_TRANSITION_ZONE","M17385","MSigDB-C5",NA,"GO:CC","Homo sapiens","A region of the cilium between the basal body and proximal segment that is characterized by Y-shaped assemblages that connect axonemal microtubules to the ciliary membrane. The ciliary transition zone appears to function as a gate that controls ciliary membrane composition and separates the cytosol from the ciliary plasm. [GOC:cilia, GOC:kmv, PMID:21422230]","Cfap36 (1.872) Tmem107 (1.868) Tmem17 (1.629) Ift20 (1.612) Nphp1 (1.404) Arl3 (1.4) Cetn2 (1.284) B9d1 (1.273) B9d2 (1.026) Fam161a (0.996)"
"k9","L3","9.581","0.373","0.406","GO_MKS_COMPLEX","M25814","MSigDB-C5",NA,"GO:CC","Homo sapiens","A protein complex that is located at the ciliary transition zone and consists of several proteins some of which are membrane bound. Acts as an organiser of transition zone inner structure, specifically the Y-shaped links, in conjunction with the NPHP complex. The MKS complex also acts as part of the selective barrier that prevents diffusion of proteins between the ciliary cytoplasm and cellular cytoplasm as well as between the ciliary membrane and plasma membrane. [GOC:cilia, GOC:sp, PMID:21422230, PMID:21565611, PMID:21725307, PMID:22179047, PMID:25869670, PMID:26595381, PMID:26982032]","Tmem107 (1.868) Tmem17 (1.629) B9d1 (1.273) B9d2 (1.026) Tmem216 (0.996) Cep290 (0.14) Tmem231 (0.081) Ahi1 (0.07) Cc2d2a (0.01) Tctn1 (-0.008)"
"k9","L3","9.581","0.487","0.257","HP_MOLAR_TOOTH_SIGN_ON_MRI","M35826","MSigDB-C5",NA,"HPO","Homo sapiens","Molar tooth sign on MRI","Cep41 (2.248) Tmem107 (1.868) Tmem138 (1.523) Nphp1 (1.404) B9d1 (1.273) B9d2 (1.026) Tmem216 (0.996) Arl13b (0.927) 2700049A03Rik (0.778) Cep120 (0.365)"
"k9","L3","9.581","0.054","0.105","REACTOME_CILIUM_ASSEMBLY","M27472","MSigDB-C2",NA,"CP:REACTOME","Homo sapiens","Cilium Assembly","Cep41 (2.248) Tuba1b (1.838) Nek2 (1.686) Ift20 (1.612) Cdk1 (1.572) Ift22 (1.536) Cep78 (1.515) Dynlrb2 (1.47) Nphp1 (1.404) Arl3 (1.4)"
"k9","L10","7.250","0.470","0.091","LU_EZH2_TARGETS_UP","M2139","MSigDB-C2",NA,"CGP","Homo sapiens","Genes up-regulated in SKOV3ip1 cells (ovarian cancer) upon knockdown of EZH2 [GeneID=2146] by RNAi.","Klhdc9 (3.437) Zp3 (2.787) Cby1 (2.747) Josd2 (2.692) Styxl1 (2.207) S100a6 (1.701) Cenpv (1.489) Oxld1 (1.349) Odf2 (1.32) Clic3 (1.278)"
"k9","L10","7.250","0.029","0.120","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR","M2608","MSigDB-C2",NA,"CGP","Homo sapiens","Cell cycle genes significantly (p =< 0.05) changed in fibroblast cells at 24 h after exposure to ionizing radiation.","Fbln1 (3.015) Poc1a (2.624) Nek2 (1.686) Ift20 (1.612) Cdk1 (1.572) Odf2 (1.32) Pttg1 (1.211) Dtymk (1.09) Cdc20 (1.031) Ube2t (0.833)"
"k9","L10","7.250","0.106","0.121","ZHONG_PFC_MAJOR_TYPES_NPCS","M39078","MSigDB-C8",NA,"","Homo sapiens","","Tuba1b (1.838) Cdk1 (1.572) Smc4 (1.322) Gng5 (1.25) Pttg1 (1.211) Tubb4b (1.201) Dtymk (1.09) Cdc20 (1.031) Ube2t (0.833) Tagln2 (0.767)"
"k9","L10","7.250","0.343","0.182","ZHONG_PFC_C8_ORG_PROLIFERATING","M39081","MSigDB-C8",NA,"","Homo sapiens","","Ccdc34 (3.294) Ccna1 (2.293) Nek2 (1.686) Odf2 (1.32) Pttg1 (1.211) Tubb4b (1.201) Cdc20 (1.031) Mt2 (0.619) Ccnb1 (0.207) Cenpf (0.092)"
"k9","L10","7.250","0.009","0.088","ZHONG_PFC_C1_OPC","M39096","MSigDB-C8",NA,"","Homo sapiens","","Ccdc34 (3.294) Poc1a (2.624) Tuba1b (1.838) Nek2 (1.686) Cdk1 (1.572) Ift22 (1.536) Smc4 (1.322) Pttg1 (1.211) Tubb4b (1.201) Dtymk (1.09)"
"k9","L8","7.067","0.780","0.392","NADERI_BREAST_CANCER_PROGNOSIS_DN","M8629","MSigDB-C2",NA,"CGP","Homo sapiens","Down-regulated genes in the breast cancer prognostic signature of 70 genes that significantly correlated with survival.","Fbln1 (3.015) Rexo2 (1.17) Anxa5 (0.74) Mcee (0.47) Txnip (-0.06) Clk4 (-0.026) Ift81 (0.024) Tgfbr3 (0.013) Smoc2 (-0.009) Sparcl1 (0.005)"
"k9","L8","7.067","0.081","-0.238","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_HORIZONTAL_BASAL_CELLS","M39273","MSigDB-C8",NA,"","Homo sapiens","","Krt19 (-1.644) Krt18 (-1.63) Sfn (-1.072) Cd9 (-0.82) Elf3 (-0.684) Pkm (-0.683) Hspb1 (0.677) Mt2 (0.619) Krt8 (0.264) Slc25a5 (-0.181)"
"k9","L8","7.067","0.103","0.290","CUI_DEVELOPING_HEART_RIGHT_VENTRICULAR_CARDIOMYOCYTE","M39314","MSigDB-C8",NA,"","Homo sapiens","","Ccdc34 (3.294) Isyna1 (1.506) Lbh (0.945) Dgcr6 (0.666) Cd24a (0.575) Txnip (-0.06) Kifap3 (0.027) Bin1 (-0.016) Bex2 (0.014) Pygl (-0.013)"
"k10","L1","46.736","1.000","0.275","GAO_LARGE_INTESTINE_ADULT_CA_ENTEROENDOCRINE_CELLS","M39161","MSigDB-C8",NA,"","Homo sapiens","","Scg2 (5.222) Chgb (4.944) Dusp26 (4.57) Cacna2d1 (4.495) Pcsk1 (4.368) Snap25 (4.102) Pf4 (4.067) Scg5 (3.869) Stmn2 (3.685) Rundc3a (3.57)"
"k10","L2","37.895","1.000","0.682","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MONOCYTES","M39297","MSigDB-C8",NA,"","Homo sapiens","","C1qc (4.476) Cd74 (3.918) C1qb (3.898) H2-Aa (3.738) H2-Eb1 (3.621) C1qa (3.592) H2-Ab1 (3.549) Tyrobp (0.629) Rgs2 (0.471) Rgs10 (0.385)"
"k10","L3","33.339","1.000","0.306","SERVITJA_ISLET_HNF1A_TARGETS_UP","M2395","MSigDB-C2",NA,"CGP","Mus musculus","Genes up-regulated in pancreatic islets upon knockout of HNF1A [GeneID=6927].","Cxcl13 (7.421) Uchl1 (5.146) Ly6h (4.976) Dusp26 (4.57) C1qc (4.476) Meis2 (4.386) C1qb (3.898) H2-Aa (3.738) Stmn2 (3.685) Snca (3.499)"
"k10","L4","37.790","1.000","0.218","MANNO_MIDBRAIN_NEUROTYPES_HSERT","M39072","MSigDB-C8",NA,"","Homo sapiens"," Cell types are named using anatomical and functional mnemonics prefixed by �m� or �h� to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.","Chga (6.922) Scg2 (5.222) Uchl1 (5.146) Ly6h (4.976) Chgb (4.944) Ddc (4.724) Spock3 (4.686) Snap25 (4.102) Scg5 (3.869) Stmn2 (3.685)"
"k10","L5","32.698","1.000","0.568","SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_DN","M1349","MSigDB-C2",NA,"CGP","Mus musculus","Genes down-regulated in the urogenital sinus (UGS) of day E16 females exposed to the androgen dihydrotestosterone [PubChem=10635] for 12 h.","Calca (7.741) Nnat (4.829) Col8a1 (3.54) Olfm1 (3.442) Elavl4 (3.181) Tubb3 (1.326) Stmn1 (1.277) Crmp1 (0.961) Basp1 (-0.901) Zwint (0.898)"
"k10","L6","28.109","0.999","0.280","GO_MYELOID_LEUKOCYTE_MIGRATION","M10503","MSigDB-C5",NA,"GO:BP","Homo sapiens","The movement of a myeloid leukocyte within or between different tissues and organs of the body. [GOC:cvs, PMID:22342843, PMID:24157461]","Calca (7.741) Cxcl13 (7.421) Chga (6.922) Scg2 (5.222) Cd81 (5.116) Pgf (5.114) Stap1 (4.797) Pf4 (4.067) Cd74 (3.918) Cd9 (2.739)"
"k10","L7","42.537","1.000","1.100","GO_CATECHOLAMINE_BIOSYNTHETIC_PROCESS","M13030","MSigDB-C5",NA,"GO:BP","Homo sapiens","The chemical reactions and pathways resulting in the formation of any of a group of physiologically important biogenic amines that possess a catechol (3,4-dihydroxyphenyl) nucleus and are derivatives of 3,4-dihydroxyphenylethylamine. [GOC:jl, ISBN:0198506732]","Ddc (4.724) Moxd1 (3.86) Snca (3.499) Insm1 (3.061) Gch1 (2.018) Vps35 (0.073) Gpr37 (-0.018) Hdc (0.012) Dao (0.009) Gata3 (0.008)"
"k10","L8","35.814","1.000","0.702","GO_SIGNALING_RECEPTOR_LIGAND_PRECURSOR_PROCESSING","M34281","MSigDB-C5",NA,"GO:BP","Homo sapiens","The cleavage of a peptide bond in a precursor form of a signaling receptor ligand, resulting in the mature (active) form of the ligand. [PMID:29247995]","Pcsk1 (4.368) Ngf (4.173) Scg5 (3.869) Cma1 (3.355) Ctsz (2.566) Cpe (1.852) Pcsk2 (1.049) Ces1d (0.958) Atp6ap2 (0.495) Bace2 (0.468)"
"k10","L9","22.133","0.220","0.530","WANG_LSD1_TARGETS_DN","M1760","MSigDB-C2",NA,"CGP","Mus musculus","Genes down-regulated after Cre-lox knockout of LSD1 [GeneID=23028] in pituitary.","Chga (6.922) Chgb (4.944) Snap25 (4.102) Cplx2 (3.215) Cpe (1.852) Syn2 (1.58) Gadd45a (1.279) Pcsk2 (1.049) Syt1 (1.04) Btg1 (0.978)"
"k10","L9","22.133","0.181","0.893","GO_NEURONAL_DENSE_CORE_VESICLE","M26004","MSigDB-C5",NA,"GO:CC","Homo sapiens","A dense core vesicle (granule) that is part of a neuron.  These vesicles typically contain neuropeptides.  They can be found in all parts of neurons, including the soma, dendrites, axonal swellings (varicosities) and synaptic terminals. [GOC:dos, ISBN:978-0-07-181001-2, Wikipedia:Neuropeptide&oldid=713905176]","Chga (6.922) Scg2 (5.222) Stxbp5l (1.213) Kif1a (0.489) Syt4 (0.444) Cadps (0.05) Oprd1 (0.032) Penk (0.03) Vps13a (0.01) Dmxl2 (-0.004)"
"k10","L9","22.133","0.053","0.214","MURARO_PANCREAS_DELTA_CELL","M39170","MSigDB-C8",NA,"","Homo sapiens","","Pkib (6.909) Uchl1 (5.146) Dusp26 (4.57) Pcsk1 (4.368) Snap25 (4.102) Rundc3a (3.57) Elavl4 (3.181) Insm1 (3.061) Dnajc12 (3.023) Cd9 (2.739)"
