"topic","CS","lbf","pip","coef","name","id","database","accession","sub_category_code","organism","description_brief","top_genes"
"k8","L2","35.901","1.000","0.592","GO_PRIMARY_ALCOHOL_CATABOLIC_PROCESS","M23258","MSigDB-C5",NA,"GO:BP","Homo sapiens","The chemical reactions and pathways resulting in the breakdown of primary alcohols. A primary alcohol is any alcohol in which a hydroxy group, -OH, is attached to a saturated carbon atom which has either three hydrogen atoms attached to it or only one other carbon atom and two hydrogen atoms attached to it. [GOC:mah]","Akr1b8 (3.595) Aldh3b1 (2.423) Aldh1b1 (-0.02) Hao1 (-0.019) Sult1e1 (-0.018) Sult1a1 (-0.013) Adh7 (-0.01) Sult1b1 (-0.004) Aldh3b2 (-0.001) Aldh2 (-0.001)"
"k8","L3","26.481","1.000","0.431","GO_NEGATIVE_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL","M14436","MSigDB-C5",NA,"GO:BP","Homo sapiens","Any process that stops, prevents, or reduces the frequency, rate or extent of the entry of viral entry into a host cell. [GOC:jl]","Gsn (3.379) Ifitm1 (3.021) Ifitm3 (0.532) Mid2 (-0.022) Trim10 (-0.019) Trim31 (-0.018) Ptx3 (-0.017) Trim26 (-0.017) Trim11 (0.015) Trim5 (-0.015)"
"k8","L4","19.254","1.000","0.415","GO_CERAMIDE_BINDING","M26808","MSigDB-C5",NA,"GO:MF","Homo sapiens","Interacting selectively and non-covalently with any ceramide, a class of lipids that is composed of sphingosine linked to a fatty acid. Ceramides are a major component of cell membranes. [GOC:sart]","Pltp (4.304) Laptm4b (1.414) Pla2g4a (0.226) Psap (-0.056) Plekha3 (-0.022) Cptp (-0.02) Mag (-0.02) Plekha8 (-0.018) Clip3 (-0.017) Cd300lf (-0.017)"
"k8","L5","31.985","1.000","0.479","GO_SECONDARY_LYSOSOME","M25649","MSigDB-C5",NA,"GO:CC","Homo sapiens","Vacuole formed by the fusion of a lysosome with an organelle (autosome) or with a primary phagosome. [GOC:jl, ISBN:0815316194]","Adam8 (3.719) Lamp1 (0.955) Ftl1 (0.949) Lamp2 (0.586) Fth1 (0.497) Sqstm1 (0.257) Cln3 (0.058) Ncf2 (-0.028) Lrrk2 (-0.017) Ncf4 (-0.017)"
"k8","L6","15.466","0.998","0.349","GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION","M10076","MSigDB-C5",NA,"GO:BP","Homo sapiens","Any process that activates or increases the frequency, rate or extent of protein maturation. [GO_REF:0000058, GOC:TermGenie, GOC:vw]","Adam8 (3.719) Gsn (3.379) Eno1 (-0.428) Timm17a (-0.041) Mmp14 (-0.023) Clec3b (-0.02) Lpcat3 (-0.009) F12 (-0.009) Plgrkt (-0.007) Bag2 (-0.007)"
"k8","L7","15.622","0.999","0.405","nicotine degradation III","143047","BioSystems-biocyc","MOUSE_PWY66-221",NA,NA,NA,"Cyp2s1 (2.493) Cyp2b10 (1.864) Cyp4b1 (0.571) Cyp2a4 (0.023) Ugt1a6a (-0.016) Cyp2u1 (-0.015) Ugt1a7c (-0.013) Cyp2a12 (-0.009) Cyp3a13 (-0.005) Cyp2j6 (-0.003)"
"k8","L8","12.293","0.963","0.394","GO_L_ASCORBIC_ACID_METABOLIC_PROCESS","M12523","MSigDB-C5",NA,"GO:BP","Homo sapiens","The chemical reactions and pathways involving L-ascorbic acid, (2R)-2-[(1S)-1,2-dihydroxyethyl]-4-hydroxy-5-oxo-2,5-dihydrofuran-3-olate; L-ascorbic acid is vitamin C and has co-factor and anti-oxidant activities in many species. [GOC:jl, ISBN:0198506732]","Slc23a1 (1.786) Gclc (1.14) Cyb5a (0.986) Slc23a2 (0.519) Akr1a1 (-0.024) Rgn (-0.019) Slc2a3 (-0.014) Gsto1 (-0.005) Gsto2 (0.004) Slc2a1 (0.004)"
"k8","L1","97.994","0.051","-0.331","SRP-dependent cotranslational protein targeting to membrane","1367219","BioSystems-reactome","R-MMU-1799339",NA,NA,NA,"Rps19 (-1.365) Rpl37a (-1.347) Rps26 (-1.34) Rps18 (-1.29) Rps2 (-1.187) Rps9 (-1.163) Rplp0 (-1.155) Rps5 (-1.081) Rpl26 (-1.055) Rpl37 (-1.048)"
"k8","L1","97.994","0.946","-0.309","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","M29556","MSigDB-C2",NA,"CP:REACTOME","Homo sapiens","Eukaryotic Translation Elongation","Rpl32 (-1.472) Rps19 (-1.365) Rpl37a (-1.347) Rps26 (-1.34) Rps18 (-1.29) Rps2 (-1.187) Rps9 (-1.163) Rplp0 (-1.155) Rps5 (-1.081) Rpl26 (-1.055)"
"k8","L9","14.857","0.092","0.321","GO_CATENIN_COMPLEX","M25689","MSigDB-C5",NA,"GO:CC","Homo sapiens","Complex of peripheral cytoplasmic proteins (alpha-, beta- and gamma-catenin) that interact with the cytoplasmic region of uvomorulin/E-cadherin to connect it to the actin cytoskeleton. [ISBN:0198599323]","Cdh26 (3.725) Cdhr3 (1.623) Cdh1 (0.257) Cdh2 (-0.018) Cdh4 (-0.018) Cdh17 (-0.017) Cdh9 (-0.017) Jup (-0.016) Cdh24 (-0.015) Cdh15 (-0.015)"
"k8","L9","14.857","0.902","0.382","GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_BINDING","M18096","MSigDB-C5",NA,"GO:MF","Homo sapiens","Interacting selectively and non-covalently with a low-density lipoprotein particle, a lipoprotein particle that is rich in cholesterol esters and low in triglycerides, is typically composed of APOB100 and APOE, and has a density of 1.02-1.06 g/ml and a diameter of between 20-25 nm. [GOC:mah]","Pltp (4.304) Thbs1 (0.982) Sorl1 (0.232) Cd36 (0.05) Ldlr (-0.039) Scarf1 (-0.018) Pcsk9 (-0.017) Colec12 (-0.017) Trem2 (-0.017) Scarb1 (-0.012)"
