"topic","CS","lbf","pip","coef","name","id","database","accession","sub_category_code","organism","description_brief","top_genes"
"k1","L1","1508.32","1.000","2.178","HAY_BONE_MARROW_FOLLICULAR_B_CELL","M39198","MSigDB-C8",NA,"","Homo sapiens","","CD79A (13.047) MS4A1 (11.44) LINC00926 (10.305) FCER2 (9.902) BLK (9.06) CD19 (8.927) FCRLA (8.831) LINC01781 (8.637) HLA-DOB (8.457) FCRL1 (8.426)"
"k1","L2","265.87","1.000","0.832","GSE10325_CD4_TCELL_VS_BCELL_DN","M3077","MSigDB-C7",NA,"","Homo sapiens","Genes down-regulated in comparison of healthy CD4 [GeneID=920] T cells versus healthy CD19 [GeneID=920] B cells. ","CD79A (13.047) MS4A1 (11.44) TCL1A (11.065) VPREB3 (10.295) FCER2 (9.902) BLK (9.06) CD19 (8.927) HLA-DOB (8.457) PNOC (8.05) POU2AF1 (7.567)"
"k1","L3","105.10","1.000","0.546","GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_DN","M6496","MSigDB-C7",NA,"","Homo sapiens","Genes down-regulated in monocyte-derived dendritic cells: control versus treated with LGALS1 [GeneID=3956].","CD79A (13.047) MS4A1 (11.44) TCL1A (11.065) LINC00926 (10.305) VPREB3 (10.295) FCER2 (9.902) CD19 (8.927) FCRLA (8.831) HLA-DOB (8.457) FCRL1 (8.426)"
"k1","L4","251.52","1.000","1.085","FAN_EMBRYONIC_CTX_BRAIN_B_CELL","M39045","MSigDB-C8",NA,"","Homo sapiens","","CD79A (13.047) MS4A1 (11.44) IGLL5 (11.209) TCL1A (11.065) LINC00926 (10.305) VPREB3 (10.295) CD19 (8.927) FCRLA (8.831) LINC01781 (8.637) FCRL1 (8.426)"
"k1","L5","47.01","0.987","0.532","HAY_BONE_MARROW_CD34_POS_PRE_B","M39189","MSigDB-C8",NA,"","Homo sapiens","","TCL1A (11.065) NIBAN3 (8.138) PAX5 (7.251) TCL1B (6.442) CD79B (5.211) RUBCNL (4.848) KLHL14 (4.412) HRK (4.057) AFF3 (3.438) CCDC191 (2.734)"
"k1","L6","77.49","0.993","0.481","GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP","M4485","MSigDB-C7",NA,"","Homo sapiens","Genes up-regulated in comparison of naive B cells versus day 0 monocytes.","CD79A (13.047) MS4A1 (11.44) TCL1A (11.065) VPREB3 (10.295) CD19 (8.927) HLA-DOB (8.457) PNOC (8.05) POU2AF1 (7.567) BLNK (7.385) FCRL2 (7.254)"
"k1","L7","75.12","1.000","-0.443","GSE10325_CD4_TCELL_VS_MYELOID_DN","M3079","MSigDB-C7",NA,"","Homo sapiens","Genes down-regulated in comparison of healthy CD4 [GeneID=920] T cells versus healthy myeloid cells.","IFI30 (-4.723) HCK (-3.267) SLC7A7 (-2.975) GSN (-2.972) ALDH2 (-2.905) CD86 (-2.423) LMO2 (-2.396) KMO (2.363) SLC15A3 (2.259) CD1D (-2.255)"
"k1","L8","73.47","1.000","1.752","HP_POSTERIOR_PHARYNGEAL_CLEFT","M36925","MSigDB-C5",NA,"HPO","Homo sapiens","Posterior pharyngeal cleft","MS4A1 (11.44) CD19 (8.927) TNFRSF13C (7.892) TNFRSF13B (7.771) CR2 (3.1) PRKCD (1.04) CD81 (0.983) NFKB2 (-0.337) TNFSF12 (-0.265) NFKB1 (-0.222)"
"k1","L9","79.16","1.000","-0.521","FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE","M39021","MSigDB-C8",NA,"","Homo sapiens","","HCST (-8.849) S100A4 (-3.177) SRGN (2.331) ITGB2 (1.876) CD37 (1.839) NEAT1 (-1.775) CD74 (1.553) IL2RG (-1.47) CRIP1 (-1.359) PLAAT4 (-1.297)"
"k1","L10","53.15","1.000","0.384","GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_DN","M9234","MSigDB-C7",NA,"","Mus musculus","Genes down-regulated in CD8 T cells with STAT1 [GeneID=6772]: untreated versus interferon alpha.","TCL1A (11.065) FCER2 (9.902) FCRL1 (8.426) KCNG1 (6.503) TCL1B (6.442) ABCB4 (6.258) SLC38A11 (5.117) CD40 (4.848) SYT17 (4.293) CD22 (4.243)"
