"topic","CS","lbf","pip","coef","name","id","database","accession","sub_category_code","organism","description_brief","top_genes"
"k1","L1","126.70","1.000","2.290","SHIN_B_CELL_LYMPHOMA_CLUSTER_9","M1393","MSigDB-C2",NA,"CGP","Mus musculus","Cluster 9 of genes distinguishing among different B lymphocyte neoplasms.","CD79A (13.047) CD19 (8.927) PAX5 (7.251) SPIB (6.733) CD40 (4.848) CXCR5 (3.053) IRF8 (0.745) REL (0.495) BCL11A (0.437) HMGB3 (-0.034)"
"k1","L2","127.54","1.000","2.567","HP_POSTERIOR_PHARYNGEAL_CLEFT","M36925","MSigDB-C5",NA,"HPO","Homo sapiens","Posterior pharyngeal cleft","MS4A1 (11.44) CD19 (8.927) TNFRSF13C (7.892) TNFRSF13B (7.771) CR2 (3.1) PRKCD (1.04) CD81 (0.983) NFKB2 (-0.337) TNFSF12 (-0.265) NFKB1 (-0.222)"
"k1","L3","43.44","1.000","0.722","GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY","M16382","MSigDB-C5",NA,"GO:BP","Homo sapiens","A series of molecular signals initiated by the cross-linking of an antigen receptor on a B cell. [GOC:add]","CD79A (13.047) MS4A1 (11.44) IGLL5 (11.209) BLK (9.06) CD19 (8.927) BLNK (7.385) PAX5 (7.251) CD79B (5.211) CD22 (4.243) MNDA (-4.029)"
"k1","L4","53.54","1.000","0.907","ZHAN_MULTIPLE_MYELOMA_CD2_UP","M18513","MSigDB-C2",NA,"CGP","Homo sapiens","Top 50 up-regulated genes in cluster CD-2 of multiple myeloma samples with the characteristic expression spike of CCND3 [GeneID=896].","CD79A (13.047) MS4A1 (11.44) VPREB3 (10.295) PNOC (8.05) TNFRSF13C (7.892) PAX5 (7.251) CD27 (-4.207) DTX1 (2.077) BEND5 (1.246) TRAF5 (1.072)"
"k1","L5","57.01","1.000","0.388","HADDAD_B_LYMPHOCYTE_PROGENITOR","M939","MSigDB-C2",NA,"CGP","Homo sapiens","Genes up-regulated in hematopoietic progenitor cells (HPC) of B lymphocyte lineage CD34+CD45RA+CD10+ [GeneID=947;5788;4311].","CD79A (13.047) MS4A1 (11.44) TCL1A (11.065) VPREB3 (10.295) BLK (9.06) CD19 (8.927) POU2AF1 (7.567) BLNK (7.385) PAX5 (7.251) TCL1B (6.442)"
"k1","L6","32.58","1.000","1.118","GO_IMMUNOGLOBULIN_BINDING","M17868","MSigDB-C5",NA,"GO:MF","Homo sapiens","Interacting selectively and non-covalently with an immunoglobulin. [GOC:ma]","MS4A1 (11.44) FCER2 (9.902) CD22 (4.243) FCGR2B (3.046) JCHAIN (1.643) FCGRT (0.12) LGALS3 (0.048) FCGR3A (0.038) LILRA2 (0.033) FCER1A (0.03)"
"k1","L7","28.96","0.970","0.641","HUTTMANN_B_CLL_POOR_SURVIVAL_DN","M12653","MSigDB-C2",NA,"CGP","Homo sapiens","Down-regulated genes in B-CLL (B-cell chronic leukemia) patients expressing high levels of ZAP70 and CD38 [GeneID=7535;952], which are associated with poor survival.","FCRL2 (7.254) BANK1 (6.31) CNTNAP2 (5.86) STAG3 (4.041) SOBP (3.028) COBLL1 (2.922) EAF2 (2.22) SLAMF1 (-1.715) ADARB1 (1.479) CASP1 (-1.447)"
"k1","L8","33.03","1.000","0.394","PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_DN","M17811","MSigDB-C2",NA,"CGP","Mus musculus","Genes down-regulated in post-GC, BCL6 [GeneID=604] dependent B cell non-Hodgkin's lymphoma (B-NHL) vs MYC [GeneID=4609] driven pre-GC lymphoma.","CD79A (13.047) VPREB3 (10.295) CD19 (8.927) FCRLA (8.831) NIBAN3 (8.138) PAX5 (7.251) BANK1 (6.31) EBF1 (5.815) KLHL14 (4.412) CD22 (4.243)"
"k1","L9","35.15","0.500","0.949","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers","http://identifiers.org/reactome/R-HSA-983695","PC-reactome",NA,NA,NA,NA,"CD79A (13.047) BLK (9.06) CD19 (8.927) BLNK (7.385) CD79B (5.211) CD22 (4.243) BTK (0.991) DAPP1 (0.922) PLCG2 (0.717) PIK3CD (-0.707)"
"k1","L9","35.15","0.500","0.949","REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS","M601","MSigDB-C2",NA,"CP:REACTOME","Homo sapiens","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers","CD79A (13.047) BLK (9.06) CD19 (8.927) BLNK (7.385) CD79B (5.211) CD22 (4.243) BTK (0.991) DAPP1 (0.922) PLCG2 (0.717) PIK3CD (-0.707)"
"k1","L10","33.53","0.998","-1.130","BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP","M15908","MSigDB-C2",NA,"CGP","Homo sapiens","Genes up-regulated in D-341 MED (OBR) cells (medulloblastoma) resistant to both carmustine and O6-BG [PubChem=2578;4578].","ID2 (-8.834) MT2A (-7.554) MT1X (-5.544) SGCE (3.745) LMO2 (-2.396) MT1F (-1.332) CA2 (-1.28) RABGAP1L (0.131) HSPA6 (0.045) FBXO21 (-0.042)"
"k2","L1","199.64","1.000","1.420","VERHAAK_AML_WITH_NPM1_MUTATED_UP","M4861","MSigDB-C2",NA,"CGP","Homo sapiens","Genes up-regulated in acute myeloid leukemia (AML) patients with mutated NPM1 [GeneID=4869].","FCN1 (13.551) CD14 (12.633) LGALS2 (12.581) TMEM176B (12.328) SERPINA1 (11.828) TMEM176A (10.894) G0S2 (10.657) VCAN (10.517) FPR1 (10.424) PILRA (9.732)"
"k2","L2","96.56","1.000","0.904","JAATINEN_HEMATOPOIETIC_STEM_CELL_DN","M6905","MSigDB-C2",NA,"CGP","Homo sapiens","Genes down-regulated in CD133+ [GeneID=8842] cells (hematopoietic stem cells, HSC) compared to the CD133- cells.","S100A8 (15.45) S100A9 (15.438) FCN1 (13.551) CD14 (12.633) LGALS2 (12.581) MS4A6A (11.881) SERPINA1 (11.828) IGSF6 (11.507) S100A12 (10.967) CLEC10A (10.598)"
"k2","L3","105.81","1.000","1.807","LIAN_LIPA_TARGETS_3M","M16088","MSigDB-C2",NA,"CGP","Mus musculus","Genes up-regulated at 3 months of age in lungs from LIPA [GeneID=3988] knockout mice, which display pulmonary pathology.","S100A9 (15.438) MS4A6A (11.881) IGSF6 (11.507) CSTA (10.522) LILRB4 (9.731) MAFB (9.277) CLEC4E (9.229) MARCO (8.786) C1QA (8.719) C1QB (7.459)"
"k2","L4","132.08","1.000","1.047","GAL_LEUKEMIC_STEM_CELL_DN","M4502","MSigDB-C2",NA,"CGP","Homo sapiens","Genes down-regulated in leukemic stem cells (LSC), defined as CD34+CD38- [GeneID=947;952] cells from AML (acute myeloid leukemia patients) compared to the CD34+CD38+ cells.","S100A8 (15.45) S100A9 (15.438) FCN1 (13.551) CD14 (12.633) LGALS2 (12.581) MS4A6A (11.881) SERPINA1 (11.828) IGSF6 (11.507) S100A12 (10.967) G0S2 (10.657)"
"k2","L5","85.14","1.000","1.781","ZHENG_IL22_SIGNALING_UP","M1800","MSigDB-C2",NA,"CGP","Mus musculus","Genes up-regulated in ex-vivo colonic tissue after treatment with IL22 [GeneID=50616].","S100A8 (15.45) S100A9 (15.438) CD14 (12.633) CFD (12.519) MS4A6A (11.881) CSTA (10.522) THBD (6.357) RTN1 (5.824) HP (5.536) LRG1 (5.344)"
"k2","L6","78.49","1.000","1.702","ROSS_AML_WITH_CBFB_MYH11_FUSION","M5236","MSigDB-C2",NA,"CGP","Homo sapiens","Top 63 probe sets for pediatric acute myeloid leukemia (AML) subtype inv(16); has a CBFB-MYH11 fusion [GeneID=865;4629].","S100A8 (15.45) S100A9 (15.438) LGALS2 (12.581) CLEC10A (10.598) TGFBI (9.821) PLBD1 (9.152) MTMR11 (7.416) CLEC7A (7.162) CD1E (6.87) TNFAIP2 (6.15)"
"k2","L7","78.26","1.000","2.712","GO_PATTERN_RECOGNITION_RECEPTOR_ACTIVITY","M26637","MSigDB-C5",NA,"GO:MF","Homo sapiens","Combining with a pathogen-associated molecular pattern (PAMP), a structure conserved among microbial species to initiate an innate immune response. [GOC:ar, GOC:bf, Wikipedia:Pattern_recognition_receptor]","FCN1 (13.551) CD14 (12.633) CLEC4E (9.229) MARCO (8.786) CLEC7A (7.162) TLR2 (6.302) CD36 (5.638) TLR8 (4.887) TLR4 (4.86) NOD2 (3.843)"
"k2","L8","45.05","1.000","3.041","GO_RAGE_RECEPTOR_BINDING","M18595","MSigDB-C5",NA,"GO:MF","Homo sapiens","Interacting selectively and non-covalently with the RAGE receptor, the receptor for advanced glycation end-products. [GOC:ai]","S100A8 (15.45) S100A9 (15.438) S100A12 (10.967) FPR1 (10.424) S100A4 (2.158) S100P (2.078) S100B (-1.913) HMGB1 (-0.781) S100A13 (0.314) HMGB2 (-0.211)"
"k2","L9","39.41","0.997","0.630","VERHAAK_GLIOBLASTOMA_MESENCHYMAL","M2122","MSigDB-C2",NA,"CGP","Homo sapiens","Genes correlated with mesenchymal type of glioblastoma multiforme tumors.","CD14 (12.633) SERPINA1 (11.828) CSTA (10.522) TGFBI (9.821) MAFB (9.277) PLBD1 (9.152) C5AR1 (8.648) STAB1 (8.597) HK3 (8.48) LILRB3 (8.302)"
"k2","L10","48.35","1.000","0.564","RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN","M8582","MSigDB-C2",NA,"CGP","Homo sapiens","Genes down-regulated in peripheral blood monocytes by CSF2RB (GM-CSF) and IL4 [GeneID=1437;3565].","S100A9 (15.438) FCN1 (13.551) CD14 (12.633) CFD (12.519) MS4A6A (11.881) S100A12 (10.967) VCAN (10.517) FPR1 (10.424) LILRB4 (9.731) PID1 (9.377)"
